Date	first doses
12.02.2021	3067822
13.02.2021	3253005
14.02.2021	3336164
15.02.2021	3608148
16.02.2021	3984622
17.02.2021	4477432
18.02.2021	5028179
19.02.2021	5384983
20.02.2021	5503094
21.02.2021	5517993
22.02.2021	5738471
23.02.2021	6106522
24.02.2021	6352410
25.02.2021	6582239
26.02.2021	6745147
27.02.2021	6854642
28.02.2021	6869923
01.03.2021	6975558
02.03.2021	7123722
03.03.2021	7240515
04.03.2021	7353536
05.03.2021	7446337
06.03.2021	7509923
07.03.2021	7524943
08.03.2021	7565023
09.03.2021	7676519
10.03.2021	7745480
11.03.2021	7807838
12.03.2021	7858565
13.03.2021	7887544
14.03.2021	7892795
15.03.2021	7911946
16.03.2021	7948320
17.03.2021	7977222
18.03.2021	7991510
19.03.2021	8007734
20.03.2021	8016078
21.03.2021	8017698
22.03.2021	8045789
23.03.2021	8091685
24.03.2021	8133043
25.03.2021	8163156
26.03.2021	8195554
27.03.2021	8217124
29.03.2021	8370872
30.03.2021	8614368
31.03.2021	8994454
01.04.2021	9206500
02.04.2021	9313746
03.04.2021	9478896
04.04.2021	9546643
05.04.2021	9796506
06.04.2021	10088238
07.04.2021	10359390
08.04.2021	10627037
09.04.2021	10777451
10.04.2021	10865731
11.04.2021	10907432
12.04.2021	11108847
13.04.2021	11388406
14.04.2021	11556291
15.04.2021	11708135
16.04.2021	12038403
17.04.2021	12151728
18.04.2021	12182430
19.04.2021	12260361
20.04.2021	12426580
21.04.2021	12590582
22.04.2021	12796678
23.04.2021	12940482
24.04.2021	13114373
25.04.2021	13171984
26.04.2021	13287707
27.04.2021	13383037
28.04.2021	13512810
29.04.2021	13646398
30.04.2021	13712254
01.05.2021	13752107
02.05.2021	13800405
03.05.2021	13933868
04.05.2021	14132161
05.05.2021	14264014
06.05.2021	14391595
07.05.2021	14476881
08.05.2021	14545524
09.05.2021	14585980
10.05.2021	14618167
11.05.2021	14660551
12.05.2021	14711273
13.05.2021	14732527
14.05.2021	14814316
15.05.2021	14895052
16.05.2021	14947740
17.05.2021	14986982
18.05.2021	15202819
19.05.2021	15366071
20.05.2021	15511277
21.05.2021	15871547
22.05.2021	15919759
23.05.2021	16045835
24.05.2021	16115588
25.05.2021	16255095
26.05.2021	16290770